.8 0217.2  5686.2  
-0808.2 0217.2  5690.6  
-0808.2 0217.2  5694.9  
-0839.1 0250.4  5699.9  
-0816.0 0233.8  5704.6  
-0746.5 0200.6  5708.6  
-0700.3 0167.4  5712.0  
-0700.3 0217.2  5716.3  
-0715.7 0167.4  5719.7  
-0777.4 0200.6  5723.7  
-0677.2 0217.2  5728.0  
-0862.3 0134.3  5730.7  
-0738.8 0200.6  5734.7  
-0731.1 0150.9  5737.7  
-0700.3 0150.9  5740.7  
-0661.8 0200.6  5744.8  
-0792.8 0150.9  5747.8  
-0792.8 0233.8  5752.5  
-0854.6 0134.3  5755.1  
-0885.5 0200.6  5759.2  
-0862.3 0184.0  5762.8  
-0901.0 0184.0  5766.5  
-0823.7 0283.5  5772.2  
-0692.6 0184.0  5775.9  
-0769.6 0200.6  5779.9  
-0877.8 0184.0  5783.6  
-0754.2 0217.2  5787.9  
-0700.3 0233.8  5792.6  
-0769.6 0167.4  5795.9  
-0854.6 0200.6  5799.9  
-0623.3 0150.9  5803.0  
-0692.6 0200.6  5807.0  
-0761.9 0134.3  5809.7  
-0854.6 0184.0  5813.3  
-0646.4 0217.2  5817.7  
-0754.2 0134.3  5820.4  
-0939.7 0200.6  5824.4  
-0955.2 0150.9  5827.4  
-0916.5 0200.6  5831.4  
-0800.5 0200.6  5835.4  
-0970.7 0217.2  5839.8  
-0800.5 0217.2  5844.1  
-0831.4 0184.0  5847.8  
-0831.4 0217.2  5852.1  
-0777.4 0150.9  5855.2  
-0839.1 0200.6  5859.2  
-0700.3 0233.8  5863.9  
-0800.5 0184.0  5867.5  
-0731.1 0233.8  5872.2  
-0769.6 0184.0  5875.9  
-0831.4 0167.4  5879.2  
-0854.6 0134.3  5881.9  
-0901.0 0217.2  5886.3  
-0862.3 0250.4  5891.3  
-0816.0 0200.6  5895.3  
-0823.7 0200.6  5899.3  
-0800.5 0184.0  5903.0  
-0893.2 0200.6  5907.0  
-0831.4 0266.9  5912.3  
-0846.8 0167.4  5915.7  
-0800.5 0233.8  5920.4  
-0823.7 0167.4  5923.7  
-0785.1 0200.6  5927.7  
-0761.9 0233.8  5932.4  
-0916.5 0184.0  5936.1  
-0785.1 0250.4  5941.1  
